"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value",
"Taxol","NCI-H810","24","1.23","Cell cycle: percent G2-M arrested","98.21",
"Taxol","5637","24","0.41","Cell cycle: percent non-arrested","98.11",
"Taxol","NCI-H810","24","0.14","Cell cycle: percent G2-M arrested","98.04",
"Taxol","NCI-H810","24","11.11","Cell cycle: percent G2-M arrested","98.02",
"Taxol","NCI-H810","24","0.41","Cell cycle: percent G2-M arrested","97.99",
"Taxol","5637","24","0.41","Cell cycle: percent interphase","97.78",
"Taxol","KYSE-180","24","0.01","Cell cycle: percent G2-M arrested","97.73",
"Taxol","NCI-H810","24","0.01","Cell cycle: percent G2-M arrested","97.68",
"Taxol","NCI-H810","24","3.7","Cell cycle: percent G2-M arrested","97.65",
"Taxol","NCI-H810","48","0.02","Cell cycle: percent G2-M arrested","97.62",
"Taxol","FU97","48","0.05","Cell cycle: percent interphase","97.53",
"Taxol","NCI-H810","24","3.7","Cell cycle: percent G2-M arrested","97.49",
"Taxol","HLF","24","0.01","Cell cycle: percent interphase","97.46",
"Taxol","HLF","24","0.01","Cell cycle: percent interphase","97.34",
"Taxol","KYSE-140","24","3.7","Cell cycle: percent G2-M arrested","97.3",
"Taxol","NCI-H810","24","0.14","Cell cycle: percent G2-M arrested","97.23",
"Taxol","PC-9","24","11.11","Cell cycle: percent G2-M arrested","97.22",
"Taxol","KYSE-140","24","0.01","Cell cycle: percent interphase","97.07",
"Taxol","A375.S2","48","0.01","Cell cycle: percent interphase","97.03",
"Taxol","NCI-H810","24","0.41","Cell cycle: percent G2-M arrested","96.91",
"Taxol","NCI-H810","72","11.11","Cell cycle: percent G2-M arrested","96.81",
"Taxol","PC-9","24","1.23","Cell cycle: percent G2-M arrested","96.77",
"Taxol","A375.S2","48","0.01","Cell cycle: percent interphase","96.74",
"Taxol","IA-LM","24","0.05","Cell cycle: percent G2-M arrested","96.67",
"Taxol","Calu-1","48","0.02","Cell cycle: percent interphase","96.62",
"Taxol","NCI-H810","48","0.02","Cell cycle: percent G2-M arrested","96.61",
"Taxol","NCI-H810","72","0.01","Cell cycle: percent G2-M arrested","96.43",
"Taxol","NCI-H810","24","33.33","Cell cycle: percent G2-M arrested","96.27",
"Taxol","NCI-H810","72","0.02","Cell cycle: percent G2-M arrested","96.2",
"Taxol","KYSE-140","24","0.01","Cell cycle: percent interphase","96.18",
"Taxol","KYSE-140","24","1.23","Cell cycle: percent G2-M arrested","96.15",
"Taxol","Calu-1","72","0.05","Cell cycle: percent interphase","95.94",
"Taxol","Calu-1","72","11.11","Cell cycle: percent interphase","95.86",
"Taxol","NCI-H1648","24","0.01","Cell cycle: percent G2-M arrested","95.83",
"Taxol","IA-LM","24","33.33","Cell cycle: percent G2-M arrested","95.83",
"Taxol","FU97","72","0.14","Cell cycle: percent interphase","95.71",
"Taxol","KATO III","24","0.01","Cell cycle: percent G2-M arrested","95.65",
"Taxol","IA-LM","24","1.23","Cell cycle: percent G2-M arrested","95.65",
"Taxol","FU97","48","11.11","Cell cycle: percent interphase","95.6",
"Taxol","Calu-1","48","0.14","Cell cycle: percent interphase","95.56",
"Taxol","647-V","24","0.01","Cell cycle: percent interphase","95.56",
"Taxol","Calu-1","72","0.01","Cell cycle: percent interphase","95.47",
"Taxol","FU97","48","0.01","Cell cycle: percent interphase","95.31",
"Taxol","Calu-1","72","0.01","Cell cycle: percent interphase","95.3",
"Taxol","KMRC-20","48","0.01","Cell cycle: percent interphase","95.28",
"Taxol","FU97","72","0.01","Cell cycle: percent interphase","95.28",
"Taxol","Calu-1","48","0.14","Cell cycle: percent interphase","95.22",
"Taxol","Calu-1","48","0.02","Cell cycle: percent interphase","95.21",
"Taxol","IA-LM","24","0.14","Cell cycle: percent G2-M arrested","95.2",
"Taxol","Calu-1","48","0.05","Cell cycle: percent interphase","95.19",
"Taxol","Calu-1","72","0.14","Cell cycle: percent interphase","95.06",
"Taxol","KYSE-180","24","0.01","Cell cycle: percent G2-M arrested","94.94",
"Taxol","A375.S2","24","0.01","Cell cycle: percent interphase","94.89",
"Taxol","SK-LMS-1","24","0.05","Cell cycle: percent G2-M arrested","94.87",
"Taxol","PC-9","24","0.05","Cell cycle: percent G2-M arrested","94.87",
"Taxol","KMRC-20","72","0.01","Cell cycle: percent interphase","94.8",
"Taxol","FU97","48","0.02","Cell cycle: percent interphase","94.76",
"Taxol","SK-LMS-1","24","0.02","Cell cycle: percent G2-M arrested","94.74",
"Taxol","PC-9","24","0.14","Cell cycle: percent G2-M arrested","94.74",
"Taxol","Calu-1","48","0.41","Cell cycle: percent interphase","94.65",
"Taxol","FU97","48","0.01","Cell cycle: percent interphase","94.64",
"Taxol","FU97","48","3.7","Cell cycle: percent interphase","94.62",
"Taxol","Ca9-22","24","0.01","Cell cycle: percent interphase","94.52",
"Taxol","IA-LM","24","0.41","Cell cycle: percent G2-M arrested","94.48",
"Taxol","647-V","24","0.01","Cell cycle: percent interphase","94.44",
"Taxol","CAL-51","24","0.01","Cell cycle: percent interphase","94.43",
"Taxol","Calu-1","72","1.23","Cell cycle: percent interphase","94.42",
"Taxol","Calu-1","48","0.01","Cell cycle: percent interphase","94.42",
"Taxol","Calu-1","48","0.01","Cell cycle: percent interphase","94.4",
"Taxol","Calu-1","48","0.05","Cell cycle: percent interphase","94.29",
"Taxol","SK-LMS-1","24","33.33","Cell cycle: percent G2-M arrested","94.12",
"Taxol","5637","24","3.7","Cell cycle: percent non-arrested","94.12",
"Taxol","A375.S2","24","0.01","Cell cycle: percent interphase","94.12",
"Taxol","PC-9","24","1.23","Cell cycle: percent G2-M arrested","94.12",
"Taxol","LNZTA3WT4","72","0.01","Cell cycle: percent interphase","93.93",
"Taxol","CAL-51","24","0.01","Cell cycle: percent interphase","93.92",
"Taxol","NCI-H810","72","0.01","Cell cycle: percent G2-M arrested","93.9",
"Taxol","FU97","48","0.41","Cell cycle: percent interphase","93.89",
"Taxol","FU97","48","0.41","Cell cycle: percent interphase","93.89",
"Taxol","Calu-1","48","1.23","Cell cycle: percent interphase","93.88",
"Taxol","Calu-1","72","0.41","Cell cycle: percent interphase","93.86",
"Taxol","Ishikawa","48","0.01","Cell cycle: percent interphase","93.84",
"Taxol","Calu-1","72","3.7","Cell cycle: percent interphase","93.83",
"Taxol","HLF","24","0.02","Cell cycle: percent interphase","93.82",
"Taxol","Calu-1","72","0.05","Cell cycle: percent interphase","93.81",
"Taxol","LNZTA3WT4","72","0.01","Cell cycle: percent interphase","93.76",
"Taxol","Ca9-22","24","0.01","Cell cycle: percent interphase","93.73",
"Taxol","IA-LM","24","0.41","Cell cycle: percent G2-M arrested","93.63",
"Taxol","FU97","48","0.14","Cell cycle: percent interphase","93.61",
"Taxol","KMRC-20","48","0.01","Cell cycle: percent interphase","93.6",
"Taxol","IA-LM","24","3.7","Cell cycle: percent G2-M arrested","93.59",
"Taxol","HLF","48","0.01","Cell cycle: percent interphase","93.59",
"Taxol","FU97","24","0.01","Cell cycle: percent interphase","93.47",
"Taxol","FU97","48","0.05","Cell cycle: percent interphase","93.46",
"Taxol","5637","24","3.7","Cell cycle: percent interphase","93.44",
"Taxol","Calu-1","48","1.23","Cell cycle: percent interphase","93.44",
"Taxol","HLF","24","0.02","Cell cycle: percent interphase","93.36",
